id,p1,p0
0,0.003573221,-0.624919903
1,0.003666204,-0.782681881
2,0.004040624,-1.28474335
3,0.003564675,-0.612707955
4,0.003398706,-0.365734649
5,0.003666204,-0.720356406
6,0.003603775,-0.653815548
7,0.003642634,-0.699111848
8,0.003573221,-0.589187696
9,0.003671763,-0.752814835
10,0.003543097,-0.56105338
11,0.003484116,-0.509600617
12,0.003484116,-0.509600617
13,0.003626367,-0.717903397
14,0.003407107,-0.434897165
15,0.003617442,-0.7378
16,0.003435133,-0.426611148
17,0.003435133,-0.426611148
18,0.003513398,-0.508772119
19,0.003603775,-0.729494823
20,0.003626069,-0.71175914
21,0.003595299,-0.648689259
22,0.003484116,-0.478243569
23,0.003513398,-0.522825712
24,0.003634767,-0.723162905
25,0.003475403,-0.459562169
26,0.003595299,-0.72059523
27,0.003371026,-0.357506388
28,0.003504735,-0.528464997
29,0.003595299,-0.616331573
30,0.003543097,-0.564596477
31,0.003666204,-0.621368887